Ticker,Strategy,Start,End,Total Return,Annualized Return,Max Drawdown,Sharpe Ratio
BTC-USD,moving_average,2021-01-01,2023-12-31,20.7824162890625,1.0334297930456513,-1.4175688442637646,0.5537027055731035
BTC-USD,mean_reversion,2021-01-01,2023-12-31,-22.0178740625,,-8.494550422712798,-0.2639873848862132
ETH-USD,moving_average,2021-01-01,2023-12-31,0.9634394818115235,0.16814245690866292,-0.8804282445136569,0.8628946910507022
ETH-USD,mean_reversion,2021-01-01,2023-12-31,-2.1135777337646484,,-3.4640095435520033,0.2695808842318496
MSFT,moving_average,2021-01-01,2023-12-31,0.4537923796081542,0.13340015921881543,-0.23288476761148313,3.2941235062861574
MSFT,mean_reversion,2021-01-01,2023-12-31,-0.3786435864257812,-0.14721579612765212,-0.3823032598876953,-3.9026748815984647
AAPL,moving_average,2021-01-01,2023-12-31,0.17368804595947274,0.055058630803007436,-0.12046158016925446,1.9956328074500518
AAPL,mean_reversion,2021-01-01,2023-12-31,-0.16728066528320318,-0.059423833099738976,-0.18678234067473443,-3.330210419252748
TSLA,moving_average,2021-01-01,2023-12-31,0.10250580337524418,0.033197256051243684,-0.17967249366358784,0.6513179229789144
TSLA,mean_reversion,2021-01-01,2023-12-31,-0.09141026611328129,-0.03157203918161744,-0.1833029670113525,-1.1222507558200152
